0,89,65,98,90,78,6,75,5,28,83,7,93,1000000,96,54,53,49,63,1000000,66,12,52,69,69,10,47,1000000,45,94,6,35,43,61,8,89,31,21,66,2,47,47,56,41,4,70,78,1000000,17,45,68,1000000,76,84,61,21,70,6,61,31,85,56,39,95,47,67,47,35,4,9,57,1000000,97,7,93,83,57,14,82,1,10,67,68,29,1,92,97,61,47,53,26,91,30,24,55,45,25,11,51,46,70,79,18,76,56,38,47,29,29,11,83,16,94,49,28,31,71,42,47,26,35,90,8,41,80,1,47,32,17,88,9,36,96,48,94,74,1000000,67,21,1000000,5,76,5,80,89,26,16,19,98,1000000,94,1,48,95,77,60,10,50,41,34,43,29,75,52,6,100,78,1000000,41,31,70,22,92,24,96,74,1000000,36,54,7,1000000,41,79,33,38,14,62,83,63,63,17,27,90,1000000,76,67,45,55,51,1000000
78,0,81,13,98,35,97,97,21,14,64,32,63,99,25,5,21,99,94,35,1,83,74,27,1000000,95,16,89,58,45,1000000,64,79,59,81,26,34,30,80,85,14,26,85,6,10,78,78,47,81,32,64,47,93,95,1000000,77,97,20,33,9,38,96,69,66,74,96,71,25,87,56,63,94,72,97,97,58,36,22,42,49,45,1000000,84,96,28,79,59,9,96,66,63,50,62,53,91,21,41,17,70,29,18,8,28,54,76,51,65,78,52,32,50,6,87,1000000,19,97,10,66,6,26,15,64,2,4,34,25,85,1000000,1000000,34,3,68,73,7,81,26,51,38,20,22,87,96,11,73,12,31,19,80,37,75,6,99,94,31,54,44,51,54,10,97,83,91,58,89,65,1000000,63,31,6,65,72,13,58,59,86,17,98,69,28,56,44,7,20,40,11,79,57,3,18,44,15,81,60,92,90,100,1000000,100,65,8
93,99,0,1,76,33,25,38,73,1000000,5,1000000,6,11,84,10,52,38,15,73,52,1000000,4,97,1000000,68,27,46,89,51,8,52,54,38,5,30,89,44,37,42,9,32,58,86,49,3,50,81,100,16,39,14,59,9,91,15,1000000,89,76,95,1000000,23,65,57,25,33,59,71,76,10,56,9,44,24,66,1,17,11,20,31,60,66,11,57,20,82,62,41,80,13,74,46,9,24,56,53,78,6,72,19,90,16,47,26,6,4,73,98,86,49,74,7,32,72,9,63,82,100,83,6,88,65,70,39,67,26,93,45,26,32,33,76,79,72,50,58,27,33,48,69,13,83,53,100,25,71,10,2,89,12,1000000,7,1000000,77,68,64,60,71,1000000,11,99,1000000,95,1000000,24,52,33,29,86,71,45,87,38,21,30,4,99,20,68,16,44,78,35,84,62,99,93,98,21,90,62,11,71,68,22,57,11,46,57,97
67,43,92,0,76,92,22,66,31,32,21,1,30,40,19,14,49,4,35,14,1000000,41,26,65,27,57,6,76,62,5,99,91,96,24,100,42,88,11,50,96,97,77,48,1000000,25,43,22,100,47,45,48,12,9,59,52,56,57,65,68,89,23,44,2,31,49,76,28,80,1,53,46,1000000,1000000,63,94,23,68,8,43,68,84,91,10,56,15,5,4,15,78,64,37,8,66,9,43,42,1000000,48,11,33,1000000,74,29,2,50,36,69,53,65,36,30,87,39,67,15,72,85,68,35,53,64,38,86,48,1000000,1,95,98,1000000,85,43,98,21,79,61,24,19,93,79,61,7,21,44,66,25,66,56,83,95,1000000,7,13,4,40,36,5,53,62,37,17,79,54,19,38,87,59,51,64,81,54,33,17,93,97,84,10,7,12,1,54,7,36,60,86,60,48,40,25,8,1000000,85,54,57,11,89,5,85,28,66,41
72,19,1000000,50,0,36,93,15,52,86,47,1000000,47,1,17,64,72,68,69,43,77,80,92,48,96,63,68,63,86,1000000,54,89,1000000,95,36,90,10,12,3,67,25,68,52,52,69,21,93,7,55,27,1,42,52,5,4,1000000,24,55,47,82,4,10,48,48,78,59,78,13,29,8,98,47,99,95,35,59,35,67,24,43,98,75,63,51,1000000,1000000,86,54,27,12,55,85,51,72,83,75,1000000,10,63,35,94,67,41,71,23,93,45,75,50,34,9,3,64,6,3,76,9,30,65,68,39,45,1000000,53,77,8,88,82,23,41,36,48,47,57,31,66,1000000,13,30,39,35,5,93,41,74,17,66,78,2,28,16,77,70,38,16,87,85,79,1000000,7,72,26,19,35,24,1000000,59,1000000,41,78,58,5,3,1000000,34,77,54,84,21,79,24,67,98,59,78,1000000,42,72,89,70,68,55,83,19,61,11,63,13,45,52
91,98,35,58,70,0,66,10,66,55,88,14,1000000,28,98,1,30,76,59,64,4,89,83,71,42,88,7,37,15,73,27,13,61,55,42,21,2,86,86,72,84,56,76,90,21,10,48,42,9,23,12,50,1000000,46,49,83,95,99,65,75,75,78,38,1000000,96,12,9,7,95,14,88,28,61,74,5,100,83,58,76,49,80,10,1000000,14,59,1,16,45,69,74,1000000,2,14,28,44,26,66,95,42,7,80,93,42,6,84,29,91,81,77,64,26,1000000,19,88,1000000,36,14,18,5,23,39,18,73,55,6,4,96,58,86,48,18,49,80,89,58,61,49,26,39,34,90,36,93,22,37,74,5,1000000,56,38,21,9,41,47,59,11,68,77,52,100,92,27,33,70,39,18,43,6,19,45,62,65,100,3,100,99,28,74,97,60,15,88,17,98,35,92,86,69,72,44,15,3,50,82,27,32,91,93,64,68
46,46,28,31,1,68,0,45,1,61,80,56,78,28,76,1000000,32,53,53,67,1000000,62,1000000,56,58,94,85,23,99,84,3,44,11,61,90,9,20,75,92,36,14,71,32,81,24,38,92,97,26,32,32,39,33,33,60,22,81,26,35,90,78,66,43,22,1000000,97,19,74,53,1000000,46,16,75,37,70,85,86,26,88,91,84,25,1000000,57,100,71,53,99,65,57,64,45,54,8,9,95,52,12,65,52,40,2,24,83,27,35,9,19,22,45,99,92,29,87,30,92,13,47,17,42,46,5,59,10,26,61,66,94,81,10,35,44,41,78,4,65,43,18,93,67,53,33,59,85,10,74,79,74,33,1000000,48,54,30,98,55,53,33,10,25,56,76,96,44,26,1,19,1000000,26,26,74,97,39,4,63,6,25,85,81,21,62,66,7,59,39,55,95,88,13,25,44,40,35,43,25,23,10,3,87,41,17
48,28,72,6,34,48,94,0,50,73,20,1000000,90,54,87,58,95,33,82,63,14,66,1000000,80,43,80,86,42,56,87,34,87,81,71,60,58,59,65,3,81,88,48,1000000,14,85,1,99,51,16,64,69,17,52,72,1000000,61,48,11,65,81,15,20,67,44,8,12,94,61,93,17,9,15,22,26,11,1000000,68,81,29,7,5,51,89,37,73,35,27,12,36,55,15,25,87,58,81,3,46,23,55,84,89,60,86,46,75,43,3,72,43,1000000,74,98,67,39,51,1,10,56,33,27,76,77,42,6,81,91,88,24,13,76,60,10,51,76,76,16,42,23,93,49,64,40,95,30,93,67,76,86,3,41,72,15,46,99,50,62,94,21,87,63,61,99,64,24,27,42,34,1000000,55,87,34,14,30,43,80,51,69,51,38,46,51,25,61,80,5,28,39,35,98,6,21,59,49,36,47,43,90,3,64,59
1000000,67,77,97,7,17,90,48,0,94,17,76,92,80,10,53,18,11,36,1000000,66,61,93,28,25,13,76,12,26,65,83,74,2,55,88,60,37,96,9,29,69,94,70,10,13,60,98,89,96,79,35,47,99,47,61,1000000,1000000,89,1000000,45,1000000,66,11,38,6,46,11,44,55,89,25,36,88,33,75,23,86,37,77,26,36,79,73,72,38,92,90,91,58,5,1000000,19,77,52,16,47,22,2,1,66,15,20,66,50,44,83,77,5,92,88,31,39,1,53,38,5,46,91,15,73,58,42,95,88,1000000,66,21,73,51,74,99,20,73,21,26,17,25,25,1000000,83,81,59,70,84,32,11,1000000,95,22,75,60,68,54,57,20,78,6,39,100,14,96,20,45,100,41,27,35,62,42,15,55,4,28,17,53,89,97,2,100,57,71,46,59,94,3,24,2,6,60,17,64,16,51,66,58,59,73,54,81,49
33,26,30,1000000,84,3,61,1000000,7,0,1000000,99,2,84,77,61,1000000,15,80,70,35,72,75,70,82,80,96,97,11,73,71,78,45,3,1000000,51,74,99,96,48,89,40,21,100,64,58,63,95,55,89,49,44,56,33,13,43,57,12,89,23,67,32,37,90,96,49,46,27,97,7,9,23,3,1000000,17,15,77,7,17,68,98,30,48,2,56,82,4,81,1000000,70,40,53,19,50,82,4,93,69,54,82,12,2,25,1000000,13,1000000,90,10,90,72,30,93,81,4,15,27,75,86,73,44,68,75,7,26,28,91,38,1000000,45,78,14,77,65,13,44,18,96,86,76,43,30,95,27,10,36,51,56,41,49,40,4,11,39,67,48,57,53,47,80,34,12,82,53,1000000,77,75,28,43,91,32,1000000,59,34,34,97,62,48,70,1000000,37,13,79,20,12,11,66,26,48,45,41,49,14,38,90,55,4,28,10,23,83
